Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,40.320000,40.660000,38.439999,40.570000,40.570000,6349600
2019-06-25,40.330002,40.560001,39.700001,39.770000,39.770000,3412400
2019-06-26,39.869999,39.869999,39.040001,39.730000,39.730000,3272500
2019-06-27,39.790001,41.119999,39.520000,40.660000,40.660000,2894300
2019-06-28,41.490002,41.650002,40.150002,40.310001,40.310001,2931700
2019-07-01,40.750000,40.980000,40.349998,40.590000,40.590000,1721300
2019-07-02,40.320000,40.410000,39.549999,40.080002,40.080002,2708000
2019-07-03,38.549999,41.070000,38.080002,41.060001,41.060001,9984700
2019-07-05,40.560001,40.650002,39.830002,40.160000,40.160000,3125700
2019-07-08,39.950001,39.980000,39.000000,39.480000,39.480000,3642400
2019-07-09,39.020000,39.439999,38.110001,39.119999,39.119999,5105700
2019-07-10,39.150002,39.669998,38.599998,38.599998,38.599998,3448600
2019-07-11,38.520000,38.823002,36.709999,37.090000,37.090000,7434200
2019-07-12,36.250000,36.500000,34.040001,34.209999,34.209999,14197000
2019-07-15,34.230000,35.830002,33.380001,35.169998,35.169998,7097900
2019-07-16,35.259998,36.220001,34.799999,35.560001,35.560001,4110600
2019-07-17,36.099998,36.740002,35.750000,36.590000,36.590000,4734800
2019-07-18,36.349998,36.485001,35.459999,35.799999,35.799999,2741000
2019-07-19,35.779999,36.150002,35.369999,35.490002,35.490002,2114200
2019-07-22,35.400002,35.450001,34.410000,34.849998,34.849998,2807700
2019-07-23,34.759998,35.610001,34.459999,35.520000,35.520000,2407600
2019-07-24,35.119999,35.779999,34.919998,35.410000,35.410000,2022800
2019-07-25,35.110001,36.310001,35.020000,35.080002,35.080002,2650200
2019-07-26,34.930000,35.480000,34.570000,34.820000,34.820000,2720400
2019-07-29,34.820000,34.820000,32.880001,33.500000,33.500000,4583900
2019-07-30,32.730000,34.080002,32.279999,33.200001,33.200001,3732000
2019-07-31,33.305000,33.900002,32.599998,32.639999,32.639999,3001100
2019-08-01,32.509998,32.610001,30.900000,31.180000,31.180000,4603400
2019-08-02,31.799999,32.759998,31.559999,32.709999,32.709999,3946200
2019-08-05,32.650002,32.650002,30.750000,31.379999,31.379999,3139500
2019-08-06,31.879999,33.320000,31.809999,32.389999,32.389999,3306300
2019-08-07,32.310001,32.380001,31.629999,32.209999,32.209999,2550600
2019-08-08,33.099998,33.330002,32.400002,32.860001,32.860001,2186400
2019-08-09,32.630001,33.049999,31.820000,32.900002,32.900002,2993100
2019-08-12,32.509998,32.919998,31.920000,32.869999,32.869999,2516400
2019-08-13,32.860001,34.340000,32.709999,34.200001,34.200001,3572300
2019-08-14,32.810001,33.250000,31.290001,31.930000,31.930000,5534300
2019-08-15,28.860001,29.620001,26.920000,27.340000,27.340000,12182000
2019-08-16,27.760000,28.570000,27.440001,28.110001,28.110001,4698800
2019-08-19,28.299999,28.299999,26.459999,26.719999,26.719999,6024300
2019-08-20,27.000000,27.760000,26.809999,27.219999,27.219999,5230400
2019-08-21,27.370001,27.700001,26.421000,26.570000,26.570000,5895800
2019-08-22,26.790001,26.920000,25.120001,25.129999,25.129999,8211700
2019-08-23,24.950001,26.100000,24.389999,24.889999,24.889999,7216300
2019-08-26,25.410000,25.469999,24.413000,25.040001,25.040001,5925100
2019-08-27,25.260000,25.280001,23.360001,23.490000,23.490000,7170200
2019-08-28,23.309999,24.370001,22.760000,24.200001,24.200001,6833600
2019-08-29,24.500000,24.750000,23.983000,24.129999,24.129999,4251600
2019-08-30,24.280001,24.750000,23.500000,23.580000,23.580000,3758000
2019-09-03,23.420000,24.990000,23.200001,24.879999,24.879999,5076700
2019-09-04,25.129999,25.430000,24.020000,24.580000,24.580000,5643700
2019-09-05,24.969999,26.530001,24.760000,26.400000,26.400000,7462000
2019-09-06,26.860001,28.155001,26.270000,27.660000,27.660000,7535000
2019-09-09,28.250000,28.410000,26.809999,27.230000,27.230000,4610500
2019-09-10,26.920000,27.590000,26.360001,27.430000,27.430000,3534800
2019-09-11,27.370001,27.889999,26.969999,27.400000,27.400000,2919000
2019-09-12,26.719999,27.257999,26.520000,26.530001,26.530001,2498400
2019-09-13,26.750000,27.480000,26.540001,27.459999,27.459999,2552000
2019-09-16,27.290001,28.740000,27.190001,27.760000,27.760000,3847700
2019-09-17,28.299999,28.629999,27.780001,28.370001,28.370001,3134700
2019-09-18,28.350000,28.889999,28.219999,28.790001,28.790001,2816700
2019-09-19,28.629999,28.750000,26.270000,26.340000,26.340000,5696400
2019-09-20,26.150000,26.400000,25.000000,25.559999,25.559999,5559100
2019-09-23,25.240000,26.049999,25.020000,25.600000,25.600000,2859100
2019-09-24,25.600000,25.650000,23.850000,24.010000,24.010000,4786500
2019-09-25,24.010000,24.719999,23.100000,24.690001,24.690001,3816100
2019-09-26,25.370001,25.410000,24.100000,24.740000,24.740000,3435400
2019-09-27,23.950001,25.120001,23.709999,23.830000,23.830000,5284300
2019-09-30,23.750000,23.750000,22.410000,22.930000,22.930000,5400600
2019-10-01,22.639999,22.910000,21.620001,21.830000,21.830000,5837800
2019-10-02,21.459999,22.580000,20.520000,21.980000,21.980000,8130100
2019-10-03,21.980000,23.430000,21.520000,23.379999,23.379999,5657000
2019-10-04,23.600000,23.750000,22.730000,22.920000,22.920000,4076500
2019-10-07,22.690001,22.760000,21.910000,22.230000,22.230000,3313400
2019-10-08,21.920000,23.090000,21.379999,22.719999,22.719999,4751100
2019-10-09,22.799999,23.170000,22.379999,22.830000,22.830000,2472500
2019-10-10,22.150000,22.320000,20.420000,20.420000,20.420000,9245800
2019-10-11,20.000000,20.879999,19.260000,19.430000,19.430000,10824000
2019-10-14,19.250000,19.459999,17.889999,18.860001,18.860001,9525500
2019-10-15,19.110001,20.430000,19.020000,20.100000,20.100000,6730900
2019-10-16,20.129999,20.190001,19.139999,19.730000,19.730000,4098400
